key,EN,DE,RU
PROMPT_HAND,Does Jack hold the ball in the same hand as Jill? Remember where the ball is when Jack turns.,"Hält Johann den Ball in der gleichen Hand wie Johanna? Merke dir, wo der Ball ist, wenn Johann sich dreht.","Джек держит мяч в той же руке, что и Джилл, или в другой? Запомните, где находится мяч."
TRAINING_INTRO,Let's have some practice!,Lass uns das mal üben.,Давайте потренируемся!
PROMPT_POSITION,Click the orange spots where you saw the ball move to in the same order that Jack turned.,Klicke die Positionen von Johanns Ball in der richtigen Reihenfolge.,"Нажимайте на оранжевые точки в том же порядке, в каком мяч Джека перемещался, когда Джек поворачивался."
SLICETHEPIE_OUTRO,Please enter your e-mail address below for your **Slicethepie** compensation.,Bitte geben sie ihre E-Mail-Adresse für ihre Slicethepie Kompensation ein.,Введите электронную почту
EMAIL_PLACEHOLDER,Your email address,Deine Email Adresse,Эл. почта
DONE,Done,Fertig,Готово
THANK_YOU,Thank you for participating!,Danke für deine Teilnahme!,Спасибо за участие!
CLOSE_BROWSER,You may now close the browser tab.,Du kannst den Browsertab jetzt schließen.,Теперь можно закрыть окно браузера
RESULTS_SAVED,Your results have been saved.,Deine Ergebnisse wurden gespeichert.,Ваш результат записан.
INSTRUCTION2b,Now click this spot that the ball was covering.,"Jetzt klicke bitte auf die Position, wo der Ball war.","Теперь нажмите на оранжевую точку, в которой был мяч."
INSTRUCTION2c,"**Congratulations**!\\This is how you pass a round: 1) say whether Jack and Jill have the ball in the same hand, 2) remember where the ball goes to on each of Jack's turns","**Glückwunsch!**\\Und so läuft nun jede Runde ab: 1. Entscheiden, in welcher Hand der Ball war und 2. sich merken, welchen Punkt der Ball verdeckt.","Поздравляем! В каждом раунде нужно ответить, в одной и той же или в разных руках Джек и Джилл держат мячи, и запомнить положение мяча каждый раз, когда Джек поворачивается."
INSTRUCTION1b,"Behind Jack there are 6 different orange spots. Jill can't move, but Jack can turn, as you can see here. When Jack turns, his ball will cover one of the spots behind him. **Every round, remember which spots the ball covers.**","Hinter Johann sind 6 verschiedene orangene Punkte. Johanna kann sich nicht bewegen, aber Johann kann sich drehen. Wenn Johann sich dreht, wird sein Ball einen der Punkte hinter ihm verdecken. **Merke dir bitte bei jeder Drehung, auf welchem Punkt der Ball war.**","Джил неподвижна, а Джек поворачивается. Когда Джек поворачивается, его мяч закрывает одну из оранжевых точек на экране позади него. Запоминайте положение мяча каждый раз, когда Джек поворачивается."
INSTRUCTION3a,"Jack can also turn more than once in a round. Now Jack has the ball in the same hand as Jill. Click ""Same"". Remember the spot the ball is covering.","Das Ganze geht auch mit mehr als einer Drehung. Hier hat Johann den Ball in der gleichen Hand. Klicke unten auf ""Gleich"" und merke dir, wo der Ball war.","Джек будет поворачиваться больше одного раза за раунд. Сейчас Джек держит мяч в той же руке, что и Джилл. Нажмите «в той же» и запомните положение мяча."
INSTRUCTION3b,"And now for the second turn, Jack has the ball in a different hand. Click ""Different"". Remember the spot the ball is covering.","Bei der nächsten Drehung hat Johann den Ball in der anderen Hand. Klicke also unten auf ""Verschieden"". Merke dir immer, wo der Ball war.",А сейчас Джек и Джилл держат мячи в разных руках. Нажмите «в другой» и запомните новое положение мяча Джека.
INSTRUCTION3c,"Now you click the 2 places the ball went to when Jack turned in the same order. First the ball was here, so click here.","Zuerst war der Ball hier beim roten Pfeil, bitte klicke darauf.","Теперь нужно нажать на две оранжевые точки, в которых был мяч в этом раунде, в том же порядке. Сначала мяч был в этой точке, нажмите на нее."
INSTRUCTION3d,"And then it was here, so now click here.",Dann war er hier. Also klicke auf den Punkt beim rotem Pfeil.,"А потом переместился в эту, нажмите на нее."
INSTRUCTION3e,"**Congratulations!**\\ This is how you pass a round: 1) say whether Jack and Jill have the ball in the same hand, 2) remember where the ball goes to on each of Jack's turns","**Glückwunsch!**\\Und so läuft nun jede Runde ab: 1. Entscheiden, in welcher Hand der Ball war und 2. sich merken, welchen Punkt der Ball verdeckt.","Поздравляем! В каждом раунде нужно ответить, в одной и той же или в разных руках Джек и Джилл держат мячи, и запомнить положение мяча каждый раз, когда Джек поворачивается."
INSTRUCTION3f,Now try it yourself without help.,Nun versuche es selbst ohne Hilfe.,А теперь попробуйте выполнить задание самостоятельно.
TESTNAME,Jack & Jill Memory Test,Johann und Johanna Gedächtnistest,Тест на рабочую память
SUM_FEEDBACK,You answered {{num_correct}} out of {{num_question}} position sequences correctly.,Du hast {{num_correct}} von {{num_question}} Ballfolgen richtig beantwortet.,Вы верно вспомнили {{num_correct}} последовательностей из {{num_question}}.
SCORE_TEMPLATE,Your score,Dein Testergebnis,Your score
VALUE,Score,Werte,Score
